"filename", "language", "JavaScript", "JSON", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\Phil\Desktop\zazie bot\dontwork\duration.js", "JavaScript", 113, 0, 0, 0, 4, 31, 148
"c:\Users\Phil\Desktop\zazie bot\dontwork\enablechannel.js", "JavaScript", 374, 0, 0, 0, 0, 97, 471
"c:\Users\Phil\Desktop\zazie bot\dontwork\enableserver.js", "JavaScript", 202, 0, 0, 0, 0, 40, 242
"c:\Users\Phil\Desktop\zazie bot\dontwork\filter.js", "JavaScript", 183, 0, 0, 0, 4, 77, 264
"c:\Users\Phil\Desktop\zazie bot\dontwork\inviterole.js", "JavaScript", 0, 0, 0, 0, 180, 0, 180
"c:\Users\Phil\Desktop\zazie bot\dontwork\kick.js", "JavaScript", 136, 0, 0, 0, 4, 30, 170
"c:\Users\Phil\Desktop\zazie bot\dontwork\level.js", "JavaScript", 0, 0, 0, 0, 89, 0, 89
"c:\Users\Phil\Desktop\zazie bot\dontwork\modlogs.js", "JavaScript", 99, 0, 0, 0, 4, 19, 122
"c:\Users\Phil\Desktop\zazie bot\dontwork\modstats.js", "JavaScript", 257, 0, 0, 0, 4, 69, 330
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\clear-queue.js", "JavaScript", 17, 0, 0, 0, 0, 6, 23
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\filter.js", "JavaScript", 25, 0, 0, 0, 0, 9, 34
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\loops.js", "JavaScript", 31, 0, 0, 0, 0, 4, 35
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\lyrics.js", "JavaScript", 37, 0, 0, 0, 0, 10, 47
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\nowplaying.js", "JavaScript", 23, 0, 0, 0, 0, 8, 31
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\pause.js", "JavaScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\play.js", "JavaScript", 24, 0, 0, 0, 0, 5, 29
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\queue.js", "JavaScript", 29, 0, 0, 0, 0, 19, 48
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\resume.js", "JavaScript", 17, 0, 0, 0, 0, 6, 23
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\search.js", "JavaScript", 15, 0, 0, 0, 0, 3, 18
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\shuffle.js", "JavaScript", 16, 0, 0, 0, 0, 4, 20
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\skip.js", "JavaScript", 16, 0, 0, 0, 0, 4, 20
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\stop.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\volume.js", "JavaScript", 18, 0, 0, 0, 0, 6, 24
"c:\Users\Phil\Desktop\zazie bot\dontwork\music\w-filters.js", "JavaScript", 31, 0, 0, 0, 0, 5, 36
"c:\Users\Phil\Desktop\zazie bot\dontwork\mute.js", "JavaScript", 137, 0, 0, 0, 4, 33, 174
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\botDisconnect.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\channelEmpty.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\error.js", "JavaScript", 21, 0, 0, 0, 0, 0, 21
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\noResults.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\playlistAdd.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\queueEnd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\searchCancel.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\searchInvalidResponse.js", "JavaScript", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\searchResults.js", "JavaScript", 11, 0, 0, 0, 0, 0, 11
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\trackAdd.js", "JavaScript", 9, 0, 0, 0, 1, 3, 13
"c:\Users\Phil\Desktop\zazie bot\dontwork\player\trackStart.js", "JavaScript", 9, 0, 0, 0, 1, 1, 11
"c:\Users\Phil\Desktop\zazie bot\dontwork\ranks.js", "JavaScript", 0, 0, 0, 0, 48, 0, 48
"c:\Users\Phil\Desktop\zazie bot\dontwork\reason.js", "JavaScript", 125, 0, 0, 0, 4, 31, 160
"c:\Users\Phil\Desktop\zazie bot\dontwork\removecase.js", "JavaScript", 72, 0, 0, 0, 4, 24, 100
"c:\Users\Phil\Desktop\zazie bot\dontwork\removeinvites.js", "JavaScript", 0, 0, 0, 0, 112, 0, 112
"c:\Users\Phil\Desktop\zazie bot\dontwork\reverse.js", "JavaScript", 39, 0, 0, 0, 0, 3, 42
"c:\Users\Phil\Desktop\zazie bot\dontwork\snipe.js", "JavaScript", 33, 0, 0, 0, 50, 21, 104
"c:\Users\Phil\Desktop\zazie bot\dontwork\unban.js", "JavaScript", 60, 0, 0, 0, 4, 18, 82
